bucket,bucketPosition,globalRank,id,name,odds,bookmakerCount,bucketStartOdds,bucketEndOdds
1,1,1,7supopEGDzoZMhat3gls,Scottie Scheffler,550,4,550,1450
1,2,2,T2nNxYN1wCztUByI1xTd,Jon Rahm,1000,4,550,1450
1,3,3,FtQhV0khijFLKi3Kaqe3,Bryson DeChambeau,1138,4,550,1450
1,4,4,UIzyNK2zbeV9Iov0GrS1,Rory McIlroy,1200,4,550,1450
1,5,5,YcfF2C99ngknLUlMhbyY,Xander Schauffele,1450,4,550,1450
2,1,6,czmLHK0Vj2wCAMZQva0P,Ludvig Aberg,1550,4,1550,2750
2,2,7,oUVsCwGHQPEfzxorEFvG,Cameron Young,2100,4,1550,2750
2,3,8,Gl70Wi9K3vWnVTQJ6zeN,Matthew Fitzpatrick,2200,4,1550,2750
2,4,9,cRE4uFphSCr0YraxjiFq,Tommy Fleetwood,2200,4,1550,2750
2,5,10,4MecsbhzAycBWtNiIXRj,Hideki Matsuyama,2750,4,1550,2750
3,1,11,ki16GfeZNv1kNdjgpX4T,Collin Morikawa,3200,4,3200,3650
3,2,12,QNqGGNbSv1VxVTNI1Vpu,Robert Macintyre,3200,4,3200,3650
3,3,13,XBKcsaCiThIlcMg6Atbh,Justin Rose,3250,4,3200,3650
3,4,14,BsBJsqTVoYhTQVnOLPvM,Min Woo Lee,3400,4,3200,3650
3,5,15,ZyQfSKZIYOcMEUdKM3U6,Patrick Reed,3650,4,3200,3650
4,1,16,2UCyup65JYEheaAtZkmo,Brooks Koepka,3850,4,3850,4950
4,2,17,H6u8cfCgJGxk6NQZGWS9,Jordan Spieth,4100,4,3850,4950
4,3,18,A5UmjeenpU87Kr9PvwE3,Viktor Hovland,4500,4,3850,4950
4,4,19,o5yCJ5vzTwtpIOy3jRdW,Christopher Gotterup,4750,4,3850,4950
4,5,20,uwqln9Nr3MJCMekYL44D,Si Woo Kim,4950,4,3850,4950
5,1,21,nvkffkrT8e1kgsj0gPzK,Russell Henley,5250,4,5250,6600
5,2,22,yREZsGbMZlpwsTb5rX7p,Akshay Bhatia,5600,4,5250,6600
5,3,23,HBHPtPMQSO0kUhygWcy4,Patrick Cantlay,5900,4,5250,6600
5,4,24,MENwSBw4PB4qDwUmt0pR,Justin Thomas,6300,4,5250,6600
5,5,25,21ZZP0YyfbV2PxLhN9pw,Adam Scott,6600,4,5250,6600
6,1,26,fsLrKJcdjNR4vSYw5l2f,Jake Knapp,6650,4,6650,6900
6,2,27,8R4Otw2ahS10ybpOgHtq,Shane Lowry,6700,4,6650,6900
6,3,28,JEHOIYPwJmPdoz4LKP64,Sam Burns,6800,4,6650,6900
6,4,29,gtBTCsk5y3uDahJBIalp,Jason Day,6850,4,6650,6900
6,5,30,DZVx6PqRg5gcCkvcVcxg,J. J. Spaun,6900,4,6650,6900
7,1,31,Dm1n9Zp6lhZ4bGdl860V,Sepp Straka,7000,4,7000,8000
7,2,32,YOPOrEvAw9ofnCG2fbL8,Nicolai Hojgaard,7050,4,7000,8000
