rank,id,name,odds,bookmakerCount
1,7supopEGDzoZMhat3gls,Scottie Scheffler,550,4
2,T2nNxYN1wCztUByI1xTd,Jon Rahm,1000,4
3,FtQhV0khijFLKi3Kaqe3,Bryson DeChambeau,1138,4
4,UIzyNK2zbeV9Iov0GrS1,Rory McIlroy,1200,4
5,YcfF2C99ngknLUlMhbyY,Xander Schauffele,1450,4
6,czmLHK0Vj2wCAMZQva0P,Ludvig Aberg,1550,4
7,oUVsCwGHQPEfzxorEFvG,Cameron Young,2100,4
8,Gl70Wi9K3vWnVTQJ6zeN,Matthew Fitzpatrick,2200,4
9,cRE4uFphSCr0YraxjiFq,Tommy Fleetwood,2200,4
10,4MecsbhzAycBWtNiIXRj,Hideki Matsuyama,2750,4
11,ki16GfeZNv1kNdjgpX4T,Collin Morikawa,3200,4
12,QNqGGNbSv1VxVTNI1Vpu,Robert Macintyre,3200,4
13,XBKcsaCiThIlcMg6Atbh,Justin Rose,3250,4
14,BsBJsqTVoYhTQVnOLPvM,Min Woo Lee,3400,4
15,ZyQfSKZIYOcMEUdKM3U6,Patrick Reed,3650,4
16,2UCyup65JYEheaAtZkmo,Brooks Koepka,3850,4
17,H6u8cfCgJGxk6NQZGWS9,Jordan Spieth,4100,4
18,A5UmjeenpU87Kr9PvwE3,Viktor Hovland,4500,4
19,o5yCJ5vzTwtpIOy3jRdW,Christopher Gotterup,4750,4
20,uwqln9Nr3MJCMekYL44D,Si Woo Kim,4950,4
21,nvkffkrT8e1kgsj0gPzK,Russell Henley,5250,4
22,yREZsGbMZlpwsTb5rX7p,Akshay Bhatia,5600,4
23,HBHPtPMQSO0kUhygWcy4,Patrick Cantlay,5900,4
24,MENwSBw4PB4qDwUmt0pR,Justin Thomas,6300,4
25,21ZZP0YyfbV2PxLhN9pw,Adam Scott,6600,4
26,fsLrKJcdjNR4vSYw5l2f,Jake Knapp,6650,4
27,8R4Otw2ahS10ybpOgHtq,Shane Lowry,6700,4
28,JEHOIYPwJmPdoz4LKP64,Sam Burns,6800,4
29,gtBTCsk5y3uDahJBIalp,Jason Day,6850,4
30,DZVx6PqRg5gcCkvcVcxg,J. J. Spaun,6900,4
31,Dm1n9Zp6lhZ4bGdl860V,Sepp Straka,7000,4
32,YOPOrEvAw9ofnCG2fbL8,Nicolai Hojgaard,7050,4
33,6bwvfRWKFt0clp6QaM8V,Tyrrell Hatton,7300,4
34,TEvhTF8oQD8o6SlMdvpX,Corey Conners,7400,4
35,wVXlqS7TS9CHTiwPjWUH,Maverick Mcnealy,8000,4
36,8wObfAvSFJdzETukgdtM,Jacob Bridgeman,8300,4
37,151UBtZz42HNDT3doMA1,Gary Woodland,9250,4
38,z8SHF1D9zgXadcoFVRiL,Harris English,10000,4
39,E6Dm8t849uX7jrj4tGPD,Cameron Smith,10500,4
40,JfbokKTzgBBPEfRVBCCY,Sungjae Im,10750,4
41,MnjJ3zq4do9KRBcxFwgb,Marco Penge,11000,4
42,XpSp3bbIFAQMpfODUuGa,Daniel Berger,11500,4
43,EkkuckgxhipXdv6Ltwke,Kurt Kitayama,12500,4
44,OiLID24SpY8vwu40YBHQ,Max Homa,12500,4
45,kPh2A69AYtVwAnOfgE5Y,Ben Griffin,13750,4
46,g3iUr0X210RQ6wSUx0zL,Rasmus Hojgaard,13750,4
47,xfaSdFdM1Tn4Ks8qXDYo,Ryan Gerard,15500,4
48,IPlOgWjnArZ3RGj0Kvkv,Keegan Bradley,17500,4
49,rNtpat3KVa1oshOmMPWS,Harry Hall,17750,4
50,LGLnMTu5C3SMDblNPWDV,Alexander Noren,18000,4
51,gIPhxzcLctOXC45LfVAb,Sam Stevens,19000,4
52,7Ijh188RKxFTGjaElAvc,Ryan Fox,19250,4
53,XZY6ncyHrVw4VziSQ6I6,Brian Harman,20000,4
54,LVqbCa81nu2pKVnqxTza,Wyndham Clark,20500,4
55,G43Ihg68JMQlyxyT8BnO,Michael Kim,21250,4
56,6WL8kGgW7Z6WEXIOjP52,Aaron Rai,21500,4
57,0YjrRh7vXwzw7cYlk4vE,Casey Jarvis,22000,4
58,ZEWqIWFaGc3aDu8kViMA,Sergio Garcia,22000,4
59,phihSanKPl32l8GbuDFS,Nick Taylor,22250,4
60,0wE6HwrsUincHlIPKHbF,Max Greyserman,22500,4
61,t5OD4L3IpkpQlthZ4FKl,Dustin Johnson,23000,4
62,vR1SLwXfN3LjduUl9m9F,Carlos Ortiz,23750,4
63,NmCVp9KZmH4FEZLnHlOA,Kristoffer Reitan,25000,4
64,PKuUedsWqa7xKVVPU0YG,Matt McCarty,25000,4
65,WjGrtq0Q9A4HkWed2txR,Tom McKibbin,25500,4
66,SQoK4DOAptqZpdI9N33Q,Haotong Li,27500,4
67,Lc4ExtW66N5cTXSC4M8S,Andrew Novak,28000,4
68,FMpOr4tgRZNV8GUHaOch,Aldrich Potgieter,28750,4
69,NcPpbqCAutJ7mQ1T6R1k,Nico Echavarria,29500,4
70,JzadZlAC2o9jw4G8qbev,Rasmus Neergaard-Petersen,29500,4
71,ck77Pkh5H2NJvZAd9G3W,John Keefer,32500,4
72,fKEiKuF54UgIUi2cLkCX,Sami Välimäki,34500,4
73,qO7pn4NWAI1PWJSuFCUJ,Michael Brennan,35000,4
74,NME8IJjFp1Dc32QU0xEq,Bubba Watson,45000,4
75,DF4wAuWhzQ3khJTHQNlg,Zach Johnson,52500,4
76,rK93gQVSjO3qMGmQqiNs,Charl Schwartzel,57500,4
77,AnrXQS11NE0ENsJS5vkl,Davis Riley,62500,4
78,vcxuLIVNCYrRGOqZmz06,Danny Willett,87500,4
79,FJK62bDwq55QtIXzGXQa,Ben Campbell,100000,4
80,Z7EIAPHrCeSYoBcN10Vk,Naoyuki Kataoka,100000,4
81,rtbuloHgLxsK1AmzVCRw,Pongsapak Laopakdee,112500,4
82,czWdHK93XQhKfYlXxTFD,Mason Howell,125000,4
83,orwH8j7t0jOMfMLpvpL4,Ethan Fang,150000,4
84,k7WCLhx1AqbYMBxEeBRz,Brandon Wu,175000,4
85,GUoLq8v3CMylhkkivSZG,Jackson Herrington,175000,4
86,CJZdTv6cNPq2O95FZxPJ,Mateo Pulcini,175000,4
87,31fJnM1CScG1hSeCEOYp,Angel Cabrera,200000,3
88,wIehWbFKnjXoF5LeqCcb,Mike Weir,275000,4
89,4QcGhwLvVInsMjIMAojj,Fred Couples,300000,4
90,YhOBfgAEGQ5a4WlpdbYC,Vijay Singh,375000,4
91,ejUpU93kwtAybKEtT6Nh,Jose Maria Olazábal,400000,4
